business_id,polarity
buF9druCkbuXLX526sGELQ,3.418075613
xGXzsc-hzam-VArK6eTvtw,3.378038821
EXOsmAB1s71WePlQk0WZrA,3.370412679
EEHhKSxUvJkoPSzeGKkpVg,3.476080608
zmZ3HkVCeZPBefJJxzdJ7A,3.503882626
WDGeeyeK7bG0cvq_ZglAdA,3.382583783
tiKV9b0b2kpaGm5a-nd1ig,3.591758863
xPo2OA5_wQgUEzAr-1o1Lg,3.390309178
EuiU19EjhybpGLXqBzntgw,3.514187616
PYDzfxSLUCCwQysbOkFSVA,3.423688685
LAhRM37ofCq5f4nCM20aCA,3.532791527
wVlxPWwFL-MrzCXim-UfWg,3.692595646
ARDNlZlbB1c3F-Qvk3lJXQ,3.436791395
r1vkjKMksmHhE9SjvSAdaw,3.382080109
UAtX7xmIfdd1W2Pebf6NWg,3.386277407
jhFi0oxdyiyCYK7i-CW59A,3.397411574
oaaeZ4BvMR9pHXYb5USEEQ,3.468765128
CoZmZKv2lCYd-UoAsAUobA,3.537221044
xdpH27x6qGSG21LLa6TaXQ,3.603597501
Je42YeoIWbMUQphd-UsKLA,3.382866062
4mmKcjlUWF3NTjtgrmBMFQ,3.389936611
vV5ciKb5sDKVmF8mAoz1iA,3.436607169
jGennaZUr2MsJyRhijNBfA,3.507540407
72PQGMhrEcIuWH-S44TprA,3.518052554
_QUh5vFHSuw8R_uiFZ7XKQ,3.543611803
qbpJFE-XlspCCk3PWhZ0AA,3.213584949
C--wIpxJ4j1y01G_raHdbA,3.481121852
2ILe62hVJfiZEOcKxFYKDA,3.675170308
hpz2qRnei2IJROLJUJVvPQ,3.40288424
ch1ercqwoNLpQLxpTb90KQ,3.393020329
a-EQKCGPirfEd33MkbD4ug,3.302259259
SH4c_oijp86ooTJmLvx6SQ,3.51613747
vKHj8egEtB0WqYy7RNZrqw,3.372930241
Oj5Seggqo_2FfKSjcAg7yw,3.432524427
nzyu4lcjIOH_zPMlaPbmrw,3.352277232
